stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-02-06 09:24:00,1177.5,1187.0,-8.0,-10140.0,-9750.0,150.0,-10290.0,-9900.0
2017-02-06 09:26:00,1178.0,1187.5,-5.0,-240.0,-240.0,90.0,-330.0,-330.0
2017-02-06 09:32:00,1180.0,1189.5,-3.0,-600.0,-600.0,60.0,-660.0,-660.0
2017-02-06 09:34:00,1181.0,1191.0,0.0,-180.0,-270.0,90.0,-270.0,-360.0
2017-02-06 14:59:00,1147.0,1154.5,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-06 14:59:00,1147.0,1154.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 14:53:00,1160.5,1168.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 14:59:00,1156.0,1164.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-07 14:59:00,1156.0,1164.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 11:26:00,1153.0,1162.0,-3.0,-0.0,-0.0,90.0,-90.0,-90.0
2017-02-08 11:27:00,1153.0,1162.0,0.0,-0.0,-0.0,90.0,-90.0,-90.0
2017-02-08 11:28:00,1153.0,1162.0,-3.0,0.0,0.0,90.0,-90.0,-90.0
2017-02-08 13:31:00,1156.0,1165.0,-5.0,-540.0,-540.0,60.0,-600.0,-600.0
2017-02-08 14:49:00,1157.0,1165.0,-8.0,-300.0,-0.0,90.0,-390.0,-90.0
2017-02-08 14:52:00,1160.5,1169.0,-5.0,-1680.0,-1920.0,90.0,-1770.0,-2010.0
2017-02-08 14:59:00,1166.5,1175.0,0.0,-1800.0,-1800.0,150.0,-1950.0,-1950.0
2017-02-08 14:59:00,1166.5,1175.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-09 09:25:00,1153.5,1161.5,-5.0,-0.0,-0.0,150.0,-150.0,-150.0
2017-02-09 09:53:00,1146.5,1154.5,-11.0,2100.0,2100.0,180.0,1920.0,1920.0
2017-02-09 09:54:00,1146.5,1154.0,-13.0,-0.0,330.0,60.0,-60.0,270.0
2017-02-09 14:59:00,1125.0,1132.0,-13.0,16770.0,17160.0,0.0,16770.0,17160.0
2017-02-09 14:59:00,1125.0,1132.0,-13.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-10 09:41:00,1143.0,1149.0,-11.0,-14040.0,-13260.0,60.0,-14100.0,-13320.0
2017-02-10 09:43:00,1143.0,1149.0,-8.0,-0.0,-0.0,90.0,-90.0,-90.0
2017-02-10 13:34:00,1151.0,1158.0,-5.0,-3840.0,-4320.0,90.0,-3930.0,-4410.0
2017-02-10 13:35:00,1151.0,1157.5,-3.0,-0.0,150.0,60.0,-60.0,90.0
2017-02-10 13:41:00,1167.5,1174.5,0.0,-2970.0,-3060.0,90.0,-3060.0,-3150.0
2017-02-10 13:42:00,1165.0,1172.0,-3.0,-0.0,-0.0,90.0,-90.0,-90.0
2017-02-10 13:53:00,1166.5,1173.0,3.0,-270.0,-180.0,180.0,-450.0,-360.0
2017-02-10 13:54:00,1166.0,1172.5,3.0,-90.0,-90.0,0.0,-90.0,-90.0
2017-02-10 13:55:00,1165.0,1171.5,0.0,-180.0,-180.0,90.0,-270.0,-270.0
2017-02-10 13:58:00,1168.0,1174.5,8.0,0.0,0.0,240.0,-240.0,-240.0
2017-02-10 14:12:00,1175.5,1182.0,11.0,3600.0,3600.0,90.0,3510.0,3510.0
2017-02-10 14:24:00,1183.5,1190.0,13.0,5280.0,5280.0,60.0,5220.0,5220.0
2017-02-10 14:38:00,1160.0,1165.5,11.0,-18330.0,-19110.0,60.0,-18390.0,-19170.0
2017-02-10 14:39:00,1161.0,1167.0,13.0,660.0,990.0,60.0,600.0,930.0
2017-02-10 14:41:00,1160.5,1166.5,11.0,-390.0,-390.0,60.0,-450.0,-450.0
2017-02-10 14:42:00,1160.0,1165.5,11.0,-330.0,-660.0,0.0,-330.0,-660.0
2017-02-10 14:51:00,1152.0,1157.5,8.0,-5280.0,-5280.0,90.0,-5370.0,-5370.0
2017-02-10 14:52:00,1153.5,1159.0,5.0,720.0,720.0,90.0,630.0,630.0
2017-02-10 14:58:00,1155.5,1161.0,3.0,600.0,600.0,60.0,540.0,540.0
2017-02-10 14:59:00,1152.5,1158.0,3.0,-540.0,-540.0,0.0,-540.0,-540.0
2017-02-10 14:59:00,1152.5,1158.0,3.0,0.0,0.0,0.0,0.0,0.0
2017-02-13 14:59:00,1200.5,1204.5,3.0,8640.0,8370.0,0.0,8640.0,8370.0
2017-02-13 14:59:00,1200.5,1204.5,3.0,0.0,0.0,0.0,0.0,0.0
2017-02-14 09:49:00,1203.0,1206.0,0.0,450.0,270.0,90.0,360.0,180.0
2017-02-14 14:59:00,1220.0,1224.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-14 14:59:00,1220.0,1224.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-15 14:59:00,1209.5,1214.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-15 14:59:00,1209.5,1214.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-16 14:59:00,1218.5,1223.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-16 14:59:00,1218.5,1223.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-17 14:59:00,1230.5,1223.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-17 14:59:00,1230.5,1223.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-20 14:59:00,1275.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-20 14:59:00,1275.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-21 14:59:00,1264.5,1268.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-21 14:59:00,1264.5,1268.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-22 14:59:00,1221.0,1223.5,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-22 14:59:00,1221.0,1223.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-23 14:59:00,1216.0,1219.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-23 14:59:00,1216.0,1219.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-24 11:20:00,1218.0,1216.5,0.0,0.0,-0.0,0.0,0.0,-0.0
2017-02-24 11:21:00,1218.0,1216.5,0.0,0.0,0.0,0.0,0.0,0.0
