stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-02-03 10:10:00,1303.0,1304.0,59.0,1360.0,1360.0,90.0,1270.0,1270.0
2017-02-03 10:11:00,1304.0,1305.0,51.0,1180.0,1180.0,80.0,1100.0,1100.0
2017-02-03 10:31:00,1301.0,1302.0,17.0,-3060.0,-3060.0,340.0,-3400.0,-3400.0
2017-02-03 10:41:00,1301.0,1302.0,8.0,0.0,0.0,90.0,-90.0,-90.0
2017-02-03 10:42:00,1301.0,1302.0,17.0,0.0,0.0,90.0,-90.0,-90.0
2017-02-03 10:46:00,1300.0,1301.0,8.0,-340.0,-340.0,90.0,-430.0,-430.0
2017-02-03 10:57:00,1293.0,1294.0,-8.0,-1120.0,-1120.0,160.0,-1280.0,-1280.0
2017-02-03 10:58:00,1293.0,1294.0,-8.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-03 11:02:00,1289.0,1290.0,-17.0,640.0,640.0,90.0,550.0,550.0
2017-02-03 11:13:00,1293.0,1294.0,-25.0,-1360.0,-1360.0,80.0,-1440.0,-1440.0
2017-02-03 11:21:00,1288.0,1289.0,-34.0,2500.0,2500.0,90.0,2410.0,2410.0
2017-02-03 11:24:00,1289.0,1290.0,-42.0,-680.0,-680.0,80.0,-760.0,-760.0
2017-02-03 11:25:00,1289.0,1290.0,-34.0,-0.0,-0.0,80.0,-80.0,-80.0
2017-02-03 11:26:00,1288.0,1289.0,-42.0,680.0,680.0,80.0,600.0,600.0
2017-02-03 13:31:00,1288.0,1289.0,-68.0,-0.0,-0.0,260.0,-260.0,-260.0
2017-02-03 14:23:00,1291.0,1292.0,-76.0,-4080.0,-4080.0,80.0,-4160.0,-4160.0
2017-02-03 14:59:00,1287.0,1288.0,-76.0,6080.0,6080.0,0.0,6080.0,6080.0
2017-02-03 14:59:00,1287.0,1288.0,-76.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-06 09:00:00,1290.0,1291.0,-85.0,-4560.0,-4560.0,90.0,-4650.0,-4650.0
2017-02-06 14:59:00,1287.0,1288.0,-85.0,5100.0,5100.0,0.0,5100.0,5100.0
2017-02-06 14:59:00,1287.0,1288.0,-85.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-07 14:01:00,1294.0,1295.0,-76.0,-11900.0,-11900.0,90.0,-11990.0,-11990.0
2017-02-07 14:59:00,1291.0,1292.0,-76.0,4560.0,4560.0,0.0,4560.0,4560.0
2017-02-07 14:59:00,1291.0,1292.0,-76.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-08 09:10:00,1296.0,1297.0,-68.0,-7600.0,-7600.0,80.0,-7680.0,-7680.0
2017-02-08 09:12:00,1297.0,1298.0,-51.0,-1360.0,-1360.0,170.0,-1530.0,-1530.0
2017-02-08 09:20:00,1303.0,1304.0,-42.0,-6120.0,-6120.0,90.0,-6210.0,-6210.0
2017-02-08 09:22:00,1305.0,1306.0,-42.0,-1680.0,-1680.0,0.0,-1680.0,-1680.0
2017-02-08 09:26:00,1305.0,1306.0,-25.0,-0.0,-0.0,170.0,-170.0,-170.0
2017-02-08 09:28:00,1310.0,1311.0,-8.0,-2500.0,-2500.0,170.0,-2670.0,-2670.0
2017-02-08 09:32:00,1309.0,1310.0,0.0,160.0,160.0,80.0,80.0,80.0
2017-02-08 09:34:00,1308.0,1309.0,8.0,-0.0,-0.0,80.0,-80.0,-80.0
2017-02-08 09:41:00,1310.0,1311.0,17.0,320.0,320.0,90.0,230.0,230.0
2017-02-08 09:43:00,1310.0,1311.0,17.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 09:45:00,1310.0,1311.0,25.0,0.0,0.0,80.0,-80.0,-80.0
2017-02-08 10:31:00,1309.0,1310.0,42.0,-500.0,-500.0,170.0,-670.0,-670.0
2017-02-08 10:32:00,1309.0,1310.0,59.0,0.0,0.0,170.0,-170.0,-170.0
2017-02-08 10:33:00,1310.0,1311.0,51.0,1180.0,1180.0,80.0,1100.0,1100.0
2017-02-08 10:34:00,1310.0,1311.0,59.0,0.0,0.0,80.0,-80.0,-80.0
2017-02-08 10:35:00,1308.0,1309.0,51.0,-2360.0,-2360.0,80.0,-2440.0,-2440.0
2017-02-08 10:40:00,1308.0,1309.0,59.0,0.0,0.0,80.0,-80.0,-80.0
2017-02-08 10:41:00,1308.0,1309.0,68.0,0.0,0.0,90.0,-90.0,-90.0
2017-02-08 10:46:00,1306.0,1307.0,76.0,-2720.0,-2720.0,80.0,-2800.0,-2800.0
2017-02-08 13:45:00,1309.0,1310.0,85.0,4560.0,4560.0,90.0,4470.0,4470.0
2017-02-08 13:46:00,1307.0,1308.0,76.0,-3400.0,-3400.0,90.0,-3490.0,-3490.0
2017-02-08 14:00:00,1311.0,1312.0,85.0,6080.0,6080.0,90.0,5990.0,5990.0
2017-02-08 14:25:00,1313.0,1314.0,93.0,3400.0,3400.0,80.0,3320.0,3320.0
2017-02-08 14:26:00,1312.0,1313.0,85.0,-1860.0,-1860.0,80.0,-1940.0,-1940.0
2017-02-08 14:38:00,1314.0,1315.0,93.0,3400.0,3400.0,80.0,3320.0,3320.0
2017-02-08 14:39:00,1314.0,1315.0,93.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 14:52:00,1314.0,1315.0,102.0,0.0,0.0,90.0,-90.0,-90.0
2017-02-08 14:59:00,1315.0,1316.0,102.0,2040.0,2040.0,0.0,2040.0,2040.0
2017-02-08 14:59:00,1315.0,1316.0,102.0,0.0,0.0,0.0,0.0,0.0
2017-02-09 14:01:00,1307.0,1308.0,93.0,-16320.0,-16320.0,90.0,-16410.0,-16410.0
2017-02-09 14:59:00,1303.0,1304.0,93.0,-7440.0,-7440.0,0.0,-7440.0,-7440.0
2017-02-09 14:59:00,1303.0,1304.0,93.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 09:24:00,1321.0,1322.0,102.0,33480.0,33480.0,90.0,33390.0,33390.0
2017-02-10 09:43:00,1335.0,1336.0,110.0,28560.0,28560.0,80.0,28480.0,28480.0
2017-02-10 14:59:00,1375.0,1376.0,110.0,88000.0,88000.0,0.0,88000.0,88000.0
2017-02-10 14:59:00,1375.0,1376.0,110.0,0.0,0.0,0.0,0.0,0.0
2017-02-13 14:59:00,1387.0,1385.0,110.0,26400.0,19800.0,0.0,26400.0,19800.0
2017-02-13 14:59:00,1387.0,1385.0,110.0,0.0,0.0,0.0,0.0,0.0
2017-02-14 09:51:00,1371.0,1369.0,85.0,-35200.0,-35200.0,250.0,-35450.0,-35450.0
2017-02-14 09:54:00,1373.0,1371.0,68.0,3400.0,3400.0,170.0,3230.0,3230.0
2017-02-14 14:59:00,1388.0,1386.0,68.0,20400.0,20400.0,0.0,20400.0,20400.0
2017-02-14 14:59:00,1388.0,1386.0,68.0,0.0,0.0,0.0,0.0,0.0
2017-02-15 10:40:00,1365.0,1362.0,59.0,-31280.0,-32640.0,90.0,-31370.0,-32730.0
2017-02-15 10:41:00,1367.0,1364.0,42.0,2360.0,2360.0,170.0,2190.0,2190.0
2017-02-15 10:42:00,1365.0,1362.0,51.0,-1680.0,-1680.0,90.0,-1770.0,-1770.0
2017-02-15 10:45:00,1365.0,1362.0,42.0,0.0,0.0,90.0,-90.0,-90.0
2017-02-15 10:46:00,1369.0,1366.0,34.0,3360.0,3360.0,80.0,3280.0,3280.0
2017-02-15 10:53:00,1370.0,1367.0,17.0,680.0,680.0,170.0,510.0,510.0
2017-02-15 10:54:00,1369.0,1366.0,34.0,-340.0,-340.0,170.0,-510.0,-510.0
2017-02-15 10:56:00,1368.0,1365.0,25.0,-680.0,-680.0,90.0,-770.0,-770.0
2017-02-15 10:57:00,1368.0,1365.0,17.0,0.0,0.0,80.0,-80.0,-80.0
2017-02-15 14:59:00,1368.0,1365.0,0.0,0.0,0.0,170.0,-170.0,-170.0
2017-02-15 14:59:00,1368.0,1365.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-16 09:00:00,1371.0,1368.0,17.0,0.0,0.0,170.0,-170.0,-170.0
2017-02-16 13:43:00,1390.0,1388.0,25.0,6460.0,6800.0,80.0,6380.0,6720.0
2017-02-16 13:44:00,1389.0,1387.0,17.0,-500.0,-500.0,80.0,-580.0,-580.0
2017-02-16 13:47:00,1390.0,1388.0,25.0,340.0,340.0,80.0,260.0,260.0
2017-02-16 14:52:00,1369.0,1367.0,8.0,-10500.0,-10500.0,170.0,-10670.0,-10670.0
2017-02-16 14:53:00,1366.0,1364.0,-8.0,-480.0,-480.0,160.0,-640.0,-640.0
2017-02-16 14:59:00,1367.0,1365.0,-8.0,-160.0,-160.0,0.0,-160.0,-160.0
2017-02-16 14:59:00,1367.0,1365.0,-8.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-17 09:12:00,1393.0,1365.0,0.0,-4160.0,-0.0,80.0,-4240.0,-80.0
2017-02-17 09:20:00,1421.0,1365.0,8.0,0.0,0.0,80.0,-80.0,-80.0
2017-02-17 09:21:00,1417.0,1365.0,17.0,-640.0,0.0,90.0,-730.0,-90.0
2017-02-17 09:22:00,1416.0,1365.0,25.0,-340.0,0.0,80.0,-420.0,-80.0
2017-02-17 09:24:00,1413.0,1365.0,34.0,-1500.0,0.0,90.0,-1590.0,-90.0
2017-02-17 09:26:00,1416.0,1365.0,59.0,2040.0,0.0,250.0,1790.0,-250.0
2017-02-17 09:28:00,1416.0,1365.0,68.0,0.0,0.0,90.0,-90.0,-90.0
2017-02-17 09:32:00,1422.0,1365.0,76.0,8160.0,0.0,80.0,8080.0,-80.0
2017-02-17 09:38:00,1416.0,1365.0,85.0,-9120.0,0.0,90.0,-9210.0,-90.0
2017-02-17 10:07:00,1402.0,1365.0,76.0,-23800.0,0.0,90.0,-23890.0,-90.0
2017-02-17 13:49:00,1391.0,1365.0,68.0,-16720.0,0.0,80.0,-16800.0,-80.0
2017-02-17 13:50:00,1395.0,1365.0,76.0,5440.0,0.0,80.0,5360.0,-80.0
2017-02-17 13:51:00,1392.0,1365.0,59.0,-4560.0,0.0,170.0,-4730.0,-170.0
2017-02-17 13:52:00,1393.0,1365.0,68.0,1180.0,0.0,90.0,1090.0,-90.0
2017-02-17 13:53:00,1393.0,1365.0,42.0,0.0,0.0,260.0,-260.0,-260.0
2017-02-17 13:54:00,1387.0,1365.0,59.0,-5040.0,0.0,170.0,-5210.0,-170.0
2017-02-17 13:55:00,1384.0,1365.0,59.0,-3540.0,0.0,0.0,-3540.0,0.0
2017-02-17 13:58:00,1378.0,1365.0,17.0,-7080.0,0.0,420.0,-7500.0,-420.0
2017-02-17 14:00:00,1366.0,1365.0,0.0,-4080.0,0.0,170.0,-4250.0,-170.0
2017-02-17 14:01:00,1371.0,1365.0,-8.0,0.0,0.0,80.0,-80.0,-80.0
2017-02-17 14:10:00,1371.0,1365.0,-17.0,-0.0,-0.0,90.0,-90.0,-90.0
2017-02-17 14:11:00,1374.0,1365.0,-8.0,-1020.0,-0.0,90.0,-1110.0,-90.0
2017-02-17 14:13:00,1371.0,1365.0,-17.0,480.0,-0.0,90.0,390.0,-90.0
2017-02-17 14:16:00,1379.0,1365.0,-25.0,-2720.0,-0.0,80.0,-2800.0,-80.0
2017-02-17 14:20:00,1380.0,1365.0,-34.0,-500.0,-0.0,90.0,-590.0,-90.0
2017-02-17 14:22:00,1378.0,1365.0,-42.0,1360.0,-0.0,80.0,1280.0,-80.0
2017-02-17 14:23:00,1380.0,1365.0,-34.0,-1680.0,-0.0,80.0,-1760.0,-80.0
2017-02-17 14:46:00,1379.0,1365.0,-42.0,680.0,-0.0,80.0,600.0,-80.0
2017-02-17 14:49:00,1380.0,1365.0,-51.0,-840.0,-0.0,90.0,-930.0,-90.0
2017-02-17 14:54:00,1369.0,1365.0,-59.0,11220.0,-0.0,80.0,11140.0,-80.0
2017-02-17 14:55:00,1370.0,1365.0,-51.0,-1180.0,-0.0,80.0,-1260.0,-80.0
2017-02-17 14:57:00,1374.0,1365.0,-59.0,-4080.0,-0.0,80.0,-4160.0,-80.0
2017-02-17 14:58:00,1376.0,1365.0,-51.0,-2360.0,-0.0,80.0,-2440.0,-80.0
2017-02-17 14:59:00,1377.0,1365.0,-51.0,-1020.0,-0.0,0.0,-1020.0,-0.0
2017-02-17 14:59:00,1377.0,1365.0,-51.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-20 09:10:00,1376.0,1374.0,-59.0,1020.0,-9180.0,80.0,940.0,-9260.0
2017-02-20 09:26:00,1379.0,1377.0,-76.0,-3540.0,-3540.0,170.0,-3710.0,-3710.0
2017-02-20 09:28:00,1380.0,1377.0,-85.0,-1520.0,-0.0,90.0,-1610.0,-90.0
2017-02-20 14:59:00,1387.0,1384.0,-85.0,-11900.0,-11900.0,0.0,-11900.0,-11900.0
2017-02-20 14:59:00,1387.0,1384.0,-85.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-21 09:10:00,1406.0,1403.0,-59.0,-32300.0,-32300.0,260.0,-32560.0,-32560.0
2017-02-21 09:12:00,1405.0,1402.0,-42.0,1180.0,1180.0,170.0,1010.0,1010.0
2017-02-21 09:20:00,1401.0,1398.0,-25.0,3360.0,3360.0,170.0,3190.0,3190.0
2017-02-21 09:21:00,1402.0,1399.0,-17.0,-500.0,-500.0,80.0,-580.0,-580.0
2017-02-21 09:22:00,1402.0,1399.0,0.0,-0.0,-0.0,170.0,-170.0,-170.0
2017-02-21 09:24:00,1402.0,1399.0,8.0,0.0,0.0,80.0,-80.0,-80.0
2017-02-21 09:26:00,1402.0,1399.0,42.0,0.0,0.0,340.0,-340.0,-340.0
2017-02-21 09:28:00,1400.0,1397.0,59.0,-1680.0,-1680.0,170.0,-1850.0,-1850.0
2017-02-21 11:13:00,1383.0,1379.0,51.0,-20060.0,-21240.0,80.0,-20140.0,-21320.0
2017-02-21 11:19:00,1375.0,1371.0,34.0,-8160.0,-8160.0,170.0,-8330.0,-8330.0
2017-02-21 11:20:00,1374.0,1370.0,17.0,-680.0,-680.0,170.0,-850.0,-850.0
2017-02-21 11:21:00,1377.0,1373.0,25.0,1020.0,1020.0,80.0,940.0,940.0
2017-02-21 11:22:00,1377.0,1373.0,34.0,0.0,0.0,90.0,-90.0,-90.0
2017-02-21 11:24:00,1383.0,1379.0,17.0,4080.0,4080.0,170.0,3910.0,3910.0
2017-02-21 11:28:00,1378.0,1374.0,17.0,-1700.0,-1700.0,0.0,-1700.0,-1700.0
2017-02-21 13:31:00,1374.0,1371.0,-42.0,-1360.0,-1020.0,590.0,-1950.0,-1610.0
2017-02-21 14:53:00,1371.0,1367.0,-59.0,2520.0,3360.0,170.0,2350.0,3190.0
2017-02-21 14:54:00,1369.0,1365.0,-42.0,2360.0,2360.0,170.0,2190.0,2190.0
2017-02-21 14:59:00,1370.0,1365.0,-59.0,-840.0,-0.0,170.0,-1010.0,-170.0
2017-02-21 14:59:00,1370.0,1365.0,-59.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-22 09:00:00,1363.0,1358.0,-42.0,8260.0,8260.0,170.0,8090.0,8090.0
2017-02-22 09:01:00,1363.0,1358.0,-59.0,-0.0,-0.0,170.0,-170.0,-170.0
2017-02-22 14:59:00,1364.0,1359.0,-59.0,-1180.0,-1180.0,0.0,-1180.0,-1180.0
2017-02-22 14:59:00,1364.0,1359.0,-59.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-23 14:59:00,1346.0,1340.0,-59.0,21240.0,22420.0,0.0,21240.0,22420.0
2017-02-23 14:59:00,1346.0,1340.0,-59.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-24 11:20:00,1328.0,1322.0,-59.0,21240.0,21240.0,0.0,21240.0,21240.0
2017-02-24 11:21:00,1327.0,1322.0,-59.0,1180.0,-0.0,0.0,1180.0,-0.0
