stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2016-12-27 11:19:00,12840.0,,15.0,0.0,,150.0,-150.0,
2016-12-27 14:59:00,12855.0,,15.0,1125.0,,0.0,1125.0,
2016-12-27 14:59:00,12855.0,,15.0,0.0,,0.0,0.0,
2016-12-28 14:29:00,12735.0,,9.0,-9000.0,,150.0,-9150.0,
2016-12-28 14:35:00,12725.0,,3.0,-450.0,,150.0,-600.0,
2016-12-28 14:49:00,12735.0,,-3.0,150.0,,150.0,0.0,
2016-12-28 14:50:00,12735.0,,-9.0,-0.0,,150.0,-150.0,
2016-12-28 14:59:00,12735.0,,-24.0,-0.0,,375.0,-375.0,
2016-12-29 09:43:00,12735.0,,-27.0,-0.0,,75.0,-75.0,
2016-12-29 10:08:00,12720.0,,-30.0,2025.0,,75.0,1950.0,
2016-12-29 14:59:00,12790.0,,-30.0,-10500.0,,0.0,-10500.0,
2016-12-30 14:59:00,12865.0,,-30.0,-11250.0,,0.0,-11250.0,
2017-01-03 14:59:00,12660.0,12590.0,-30.0,30750.0,,0.0,30750.0,
2017-01-04 14:59:00,12705.0,12680.0,-30.0,-6750.0,-13500.0,0.0,-6750.0,-13500.0
2017-01-05 14:59:00,12625.0,12595.0,-30.0,12000.0,12750.0,0.0,12000.0,12750.0
2017-01-06 14:59:00,12550.0,12510.0,-30.0,11250.0,12750.0,0.0,11250.0,12750.0
2017-01-09 09:43:00,12715.0,12695.0,0.0,-24750.0,-27750.0,750.0,-25500.0,-28500.0
2017-01-09 09:51:00,12710.0,12690.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-09 14:08:00,12580.0,12555.0,-3.0,-0.0,-0.0,75.0,-75.0,-75.0
2017-01-09 14:12:00,12575.0,12545.0,-6.0,75.0,150.0,75.0,0.0,75.0
2017-01-09 14:13:00,12580.0,12555.0,-3.0,-150.0,-300.0,75.0,-225.0,-375.0
2017-01-09 14:25:00,12580.0,12555.0,-6.0,-0.0,-0.0,75.0,-75.0,-75.0
2017-01-09 14:59:00,12605.0,12580.0,-6.0,-750.0,-750.0,0.0,-750.0,-750.0
2017-01-09 14:59:00,12605.0,12580.0,-6.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-10 11:25:00,12710.0,12685.0,0.0,-3150.0,-3150.0,150.0,-3300.0,-3300.0
2017-01-10 11:26:00,12700.0,12680.0,-6.0,-0.0,-0.0,150.0,-150.0,-150.0
2017-01-10 13:30:00,12760.0,12740.0,6.0,-1800.0,-1800.0,300.0,-2100.0,-2100.0
2017-01-10 13:32:00,12790.0,12770.0,12.0,900.0,900.0,150.0,750.0,750.0
2017-01-10 13:33:00,12780.0,12755.0,0.0,-600.0,-900.0,300.0,-900.0,-1200.0
2017-01-10 13:34:00,12790.0,12775.0,12.0,0.0,0.0,300.0,-300.0,-300.0
2017-01-10 13:35:00,12815.0,12795.0,15.0,1500.0,1200.0,75.0,1425.0,1125.0
2017-01-10 13:36:00,12820.0,12800.0,18.0,375.0,375.0,75.0,300.0,300.0
2017-01-10 13:41:00,12825.0,12800.0,24.0,450.0,0.0,150.0,300.0,-150.0
2017-01-10 13:50:00,12835.0,12810.0,27.0,1200.0,1200.0,75.0,1125.0,1125.0
2017-01-10 13:53:00,12800.0,12775.0,36.0,-4725.0,-4725.0,225.0,-4950.0,-4950.0
2017-01-10 13:54:00,12800.0,12780.0,18.0,0.0,900.0,450.0,-450.0,450.0
2017-01-10 13:57:00,12785.0,12760.0,42.0,-1350.0,-1800.0,600.0,-1950.0,-2400.0
2017-01-10 14:59:00,12890.0,12870.0,42.0,22050.0,23100.0,0.0,22050.0,23100.0
2017-01-11 14:59:00,13065.0,13040.0,42.0,36750.0,35700.0,0.0,36750.0,35700.0
2017-01-12 09:00:00,13045.0,13015.0,36.0,-4200.0,-5250.0,150.0,-4350.0,-5400.0
2017-01-12 14:59:00,13290.0,13280.0,36.0,44100.0,47700.0,0.0,44100.0,47700.0
2017-01-12 14:59:00,13290.0,13280.0,36.0,0.0,0.0,0.0,0.0,0.0
2017-01-13 13:43:00,13320.0,13295.0,30.0,5400.0,2700.0,150.0,5250.0,2550.0
2017-01-13 13:44:00,13310.0,13290.0,36.0,-1500.0,-750.0,150.0,-1650.0,-900.0
2017-01-13 13:45:00,13310.0,13285.0,33.0,0.0,-900.0,75.0,-75.0,-975.0
2017-01-13 13:46:00,13320.0,13300.0,36.0,1650.0,2475.0,75.0,1575.0,2400.0
2017-01-13 13:47:00,13310.0,13290.0,24.0,-1800.0,-1800.0,300.0,-2100.0,-2100.0
2017-01-13 13:49:00,13300.0,13275.0,21.0,-1200.0,-1800.0,75.0,-1275.0,-1875.0
2017-01-13 13:50:00,13290.0,13275.0,24.0,-1050.0,0.0,75.0,-1125.0,-75.0
2017-01-13 13:51:00,13295.0,13275.0,21.0,600.0,0.0,75.0,525.0,-75.0
2017-01-13 13:53:00,13305.0,13285.0,12.0,1050.0,1050.0,225.0,825.0,825.0
2017-01-13 13:54:00,13290.0,13270.0,21.0,-900.0,-900.0,225.0,-1125.0,-1125.0
2017-01-13 13:58:00,13290.0,13270.0,9.0,0.0,0.0,300.0,-300.0,-300.0
2017-01-13 14:00:00,13270.0,13250.0,6.0,-900.0,-900.0,75.0,-975.0,-975.0
2017-01-13 14:01:00,13285.0,13265.0,3.0,450.0,450.0,75.0,375.0,375.0
2017-01-13 14:16:00,13290.0,13270.0,0.0,75.0,75.0,75.0,0.0,0.0
2017-01-13 14:59:00,13405.0,13395.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16 14:59:00,13410.0,13390.0,0.0,0.0,-0.0,0.0,0.0,-0.0
2017-01-16 14:59:00,13410.0,13390.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-17 14:59:00,13350.0,13320.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-18 10:31:00,13390.0,13365.0,3.0,0.0,0.0,75.0,-75.0,-75.0
2017-01-18 13:49:00,13360.0,13330.0,-3.0,-450.0,-525.0,150.0,-600.0,-675.0
2017-01-18 13:50:00,13375.0,13345.0,3.0,-225.0,-225.0,150.0,-375.0,-375.0
2017-01-18 13:57:00,13390.0,13365.0,6.0,225.0,300.0,75.0,150.0,225.0
2017-01-18 13:58:00,13395.0,13365.0,3.0,150.0,0.0,75.0,75.0,-75.0
2017-01-18 14:13:00,13395.0,13365.0,6.0,0.0,0.0,75.0,-75.0,-75.0
2017-01-18 14:19:00,13400.0,13370.0,9.0,150.0,150.0,75.0,75.0,75.0
2017-01-18 14:24:00,13390.0,13360.0,3.0,-450.0,-450.0,150.0,-600.0,-600.0
2017-01-18 14:57:00,13355.0,13325.0,3.0,-525.0,-525.0,0.0,-525.0,-525.0
2017-01-18 14:59:00,13365.0,13335.0,3.0,150.0,150.0,0.0,150.0,150.0
2017-01-18 14:59:00,13365.0,13335.0,3.0,0.0,0.0,0.0,0.0,0.0
2017-01-19 10:11:00,13355.0,13325.0,6.0,-150.0,-150.0,75.0,-225.0,-225.0
2017-01-19 10:57:00,13370.0,13335.0,0.0,450.0,300.0,150.0,300.0,150.0
2017-01-19 10:58:00,13370.0,13340.0,6.0,0.0,0.0,150.0,-150.0,-150.0
2017-01-19 11:16:00,13390.0,13360.0,9.0,600.0,600.0,75.0,525.0,525.0
2017-01-19 11:21:00,13385.0,13355.0,3.0,-225.0,-225.0,150.0,-375.0,-375.0
2017-01-19 13:31:00,13400.0,13370.0,9.0,225.0,225.0,150.0,75.0,75.0
2017-01-19 13:53:00,13380.0,13345.0,-3.0,-900.0,-1125.0,300.0,-1200.0,-1425.0
2017-01-19 13:54:00,13380.0,13345.0,9.0,-0.0,-0.0,300.0,-300.0,-300.0
2017-01-19 13:58:00,13385.0,13350.0,-3.0,225.0,225.0,300.0,-75.0,-75.0
2017-01-19 14:59:00,13385.0,13355.0,-3.0,-0.0,-75.0,0.0,-0.0,-75.0
2017-01-20 10:41:00,13415.0,13380.0,3.0,-450.0,-375.0,150.0,-600.0,-525.0
2017-01-20 10:49:00,13425.0,13395.0,15.0,150.0,225.0,300.0,-150.0,-75.0
2017-01-20 10:54:00,13430.0,13400.0,18.0,375.0,375.0,75.0,300.0,300.0
2017-01-20 10:55:00,13435.0,13400.0,15.0,450.0,0.0,75.0,375.0,-75.0
2017-01-20 11:02:00,13440.0,13405.0,18.0,375.0,375.0,75.0,300.0,300.0
2017-01-20 13:31:00,13435.0,13400.0,24.0,-450.0,-450.0,150.0,-600.0,-600.0
2017-01-20 14:43:00,13405.0,13370.0,18.0,-3600.0,-3600.0,150.0,-3750.0,-3750.0
2017-01-20 14:44:00,13400.0,13365.0,24.0,-450.0,-450.0,150.0,-600.0,-600.0
2017-01-20 14:53:00,13390.0,13350.0,18.0,-1200.0,-1800.0,150.0,-1350.0,-1950.0
2017-01-20 14:59:00,13375.0,13335.0,18.0,-1350.0,-1350.0,0.0,-1350.0,-1350.0
2017-01-20 14:59:00,13375.0,13335.0,18.0,0.0,0.0,0.0,0.0,0.0
2017-01-23 09:10:00,13805.0,13785.0,21.0,38700.0,40500.0,75.0,38625.0,40425.0
2017-01-23 09:21:00,13900.0,13880.0,24.0,9975.0,9975.0,75.0,9900.0,9900.0
2017-01-23 14:59:00,13725.0,13690.0,24.0,-21000.0,-22800.0,0.0,-21000.0,-22800.0
