stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-01-17 14:59:00,2424.0,2435.0,50.0,,,,,
2017-01-18 09:00:00,2432.0,2443.0,58.0,4000.0,4000.0,80.0,3920.0,3920.0
2017-01-18 14:59:00,2434.0,2446.0,58.0,1160.0,1740.0,0.0,1160.0,1740.0
2017-01-19 09:00:00,2435.0,2446.0,50.0,580.0,0.0,80.0,500.0,-80.0
2017-01-19 14:59:00,2452.0,2464.0,50.0,8500.0,9000.0,0.0,8500.0,9000.0
2017-01-20 10:04:00,2417.0,2429.0,42.0,-17500.0,-17500.0,80.0,-17580.0,-17580.0
2017-01-20 10:07:00,2416.0,2428.0,17.0,-420.0,-420.0,250.0,-670.0,-670.0
2017-01-20 10:10:00,2418.0,2430.0,8.0,340.0,340.0,90.0,250.0,250.0
2017-01-20 11:16:00,2417.0,2429.0,0.0,-80.0,-80.0,80.0,-160.0,-160.0
2017-01-20 14:59:00,2419.0,2432.0,0.0,0.0,0.0,0.0,0.0,0.0
