stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-01-17 14:59:00,13350.0,,0.0,,,,,
2017-01-18 10:31:00,13390.0,13365.0,3.0,0.0,,75.0,-75.0,
2017-01-18 13:49:00,13360.0,13330.0,-3.0,-450.0,-525.0,150.0,-600.0,-675.0
2017-01-18 13:50:00,13375.0,13345.0,3.0,-225.0,-225.0,150.0,-375.0,-375.0
2017-01-18 13:57:00,13390.0,13365.0,6.0,225.0,300.0,75.0,150.0,225.0
2017-01-18 13:58:00,13395.0,13365.0,3.0,150.0,0.0,75.0,75.0,-75.0
2017-01-18 14:13:00,13395.0,13365.0,6.0,0.0,0.0,75.0,-75.0,-75.0
2017-01-18 14:19:00,13400.0,13370.0,9.0,150.0,150.0,75.0,75.0,75.0
2017-01-18 14:24:00,13390.0,13360.0,3.0,-450.0,-450.0,150.0,-600.0,-600.0
2017-01-18 14:57:00,13355.0,13325.0,3.0,-525.0,-525.0,0.0,-525.0,-525.0
2017-01-18 14:59:00,13365.0,13335.0,3.0,150.0,150.0,0.0,150.0,150.0
2017-01-18 14:59:00,13365.0,13335.0,3.0,0.0,0.0,0.0,0.0,0.0
2017-01-19 10:11:00,13355.0,13325.0,6.0,-150.0,-150.0,75.0,-225.0,-225.0
2017-01-19 10:57:00,13370.0,13335.0,0.0,450.0,300.0,150.0,300.0,150.0
2017-01-19 10:58:00,13370.0,13340.0,6.0,0.0,0.0,150.0,-150.0,-150.0
2017-01-19 11:16:00,13390.0,13360.0,9.0,600.0,600.0,75.0,525.0,525.0
2017-01-19 11:21:00,13385.0,13355.0,3.0,-225.0,-225.0,150.0,-375.0,-375.0
2017-01-19 13:31:00,13400.0,13370.0,9.0,225.0,225.0,150.0,75.0,75.0
2017-01-19 13:53:00,13380.0,13345.0,-3.0,-900.0,-1125.0,300.0,-1200.0,-1425.0
2017-01-19 13:54:00,13380.0,13345.0,9.0,-0.0,-0.0,300.0,-300.0,-300.0
2017-01-19 13:58:00,13385.0,13350.0,-3.0,225.0,225.0,300.0,-75.0,-75.0
2017-01-19 14:59:00,13385.0,13355.0,-3.0,-0.0,-75.0,0.0,-0.0,-75.0
2017-01-20 10:41:00,13415.0,13380.0,3.0,-450.0,-375.0,150.0,-600.0,-525.0
2017-01-20 10:49:00,13425.0,13395.0,15.0,150.0,225.0,300.0,-150.0,-75.0
2017-01-20 10:54:00,13430.0,13400.0,18.0,375.0,375.0,75.0,300.0,300.0
2017-01-20 10:55:00,13435.0,13400.0,15.0,450.0,0.0,75.0,375.0,-75.0
2017-01-20 11:02:00,13440.0,13405.0,18.0,375.0,375.0,75.0,300.0,300.0
2017-01-20 13:31:00,13435.0,13400.0,24.0,-450.0,-450.0,150.0,-600.0,-600.0
2017-01-20 14:43:00,13405.0,13370.0,18.0,-3600.0,-3600.0,150.0,-3750.0,-3750.0
2017-01-20 14:44:00,13400.0,13365.0,24.0,-450.0,-450.0,150.0,-600.0,-600.0
2017-01-20 14:53:00,13390.0,13350.0,18.0,-1200.0,-1800.0,150.0,-1350.0,-1950.0
2017-01-20 14:59:00,13375.0,13335.0,18.0,-1350.0,-1350.0,0.0,-1350.0,-1350.0
