stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-01-10 09:22:00,5338.0,5338.0,-8.0,,,,,
2017-01-10 09:24:00,5334.0,5336.0,-15.0,160.0,80.0,70.0,90.0,10.0
2017-01-10 09:25:00,5334.0,5334.0,-23.0,-0.0,150.0,80.0,-80.0,70.0
2017-01-10 09:28:00,5332.0,5332.0,-31.0,230.0,230.0,80.0,150.0,150.0
2017-01-10 09:43:00,5324.0,5324.0,-38.0,1240.0,1240.0,70.0,1170.0,1170.0
2017-01-10 09:53:00,5314.0,5314.0,-54.0,1900.0,1900.0,160.0,1740.0,1740.0
2017-01-10 14:59:00,5336.0,5334.0,-54.0,-5940.0,-5400.0,0.0,-5940.0,-5400.0
2017-01-10 14:59:00,5336.0,5334.0,-54.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-11 09:10:00,5392.0,5390.0,-46.0,-15120.0,-15120.0,80.0,-15200.0,-15200.0
2017-01-11 09:12:00,5390.0,5388.0,-38.0,460.0,460.0,80.0,380.0,380.0
2017-01-11 09:13:00,5386.0,5384.0,-46.0,760.0,760.0,80.0,680.0,680.0
2017-01-11 09:32:00,5380.0,5380.0,-38.0,1380.0,920.0,80.0,1300.0,840.0
2017-01-11 09:57:00,5386.0,5386.0,-23.0,-1140.0,-1140.0,150.0,-1290.0,-1290.0
2017-01-11 10:05:00,5386.0,5386.0,-8.0,-0.0,-0.0,150.0,-150.0,-150.0
2017-01-11 10:10:00,5390.0,5390.0,8.0,-160.0,-160.0,160.0,-320.0,-320.0
2017-01-11 10:30:00,5388.0,5388.0,38.0,-80.0,-80.0,300.0,-380.0,-380.0
2017-01-11 14:59:00,5422.0,5418.0,38.0,6460.0,5700.0,0.0,6460.0,5700.0
2017-01-12 14:59:00,5450.0,5448.0,38.0,5320.0,5700.0,0.0,5320.0,5700.0
2017-01-12 14:59:00,5450.0,5448.0,38.0,0.0,0.0,0.0,0.0,0.0
2017-01-13 14:59:00,5460.0,5456.0,38.0,1900.0,1520.0,0.0,1900.0,1520.0
2017-01-13 14:59:00,5460.0,5456.0,38.0,0.0,0.0,0.0,0.0,0.0
2017-01-16 14:59:00,5460.0,5456.0,38.0,0.0,0.0,0.0,0.0,0.0
2017-01-17 11:24:00,5434.0,5422.0,31.0,-4940.0,-6460.0,70.0,-5010.0,-6530.0
2017-01-17 11:25:00,5438.0,5426.0,38.0,620.0,620.0,70.0,550.0,550.0
2017-01-17 13:31:00,5438.0,5428.0,31.0,0.0,380.0,70.0,-70.0,310.0
2017-01-17 14:59:00,5448.0,5436.0,31.0,1550.0,1240.0,0.0,1550.0,1240.0
2017-01-18 09:32:00,5428.0,5416.0,23.0,-3100.0,-3100.0,80.0,-3180.0,-3180.0
2017-01-18 14:59:00,5428.0,5416.0,15.0,0.0,0.0,80.0,-80.0,-80.0
2017-01-19 09:00:00,5428.0,5416.0,23.0,0.0,0.0,80.0,-80.0,-80.0
2017-01-19 09:12:00,5426.0,5414.0,15.0,-230.0,-230.0,80.0,-310.0,-310.0
2017-01-19 11:25:00,5462.0,5450.0,23.0,2700.0,2700.0,80.0,2620.0,2620.0
2017-01-19 11:26:00,5466.0,5454.0,15.0,460.0,460.0,80.0,380.0,380.0
2017-01-19 13:31:00,5466.0,5454.0,23.0,0.0,0.0,80.0,-80.0,-80.0
2017-01-19 13:32:00,5468.0,5456.0,31.0,230.0,230.0,80.0,150.0,150.0
2017-01-19 13:33:00,5468.0,5456.0,23.0,0.0,0.0,80.0,-80.0,-80.0
2017-01-19 13:34:00,5470.0,5458.0,31.0,230.0,230.0,80.0,150.0,150.0
2017-01-19 13:58:00,5470.0,5456.0,38.0,0.0,-310.0,70.0,-70.0,-380.0
2017-01-19 14:59:00,5464.0,5452.0,38.0,-1140.0,-760.0,0.0,-1140.0,-760.0
2017-01-20 13:51:00,5462.0,5450.0,46.0,-380.0,-380.0,80.0,-460.0,-460.0
2017-01-20 13:52:00,5460.0,5448.0,38.0,-460.0,-460.0,80.0,-540.0,-540.0
2017-01-20 14:00:00,5454.0,5442.0,46.0,-1140.0,-1140.0,80.0,-1220.0,-1220.0
2017-01-20 14:25:00,5440.0,5428.0,31.0,-3220.0,-3220.0,150.0,-3370.0,-3370.0
2017-01-20 14:26:00,5442.0,5430.0,46.0,310.0,310.0,150.0,160.0,160.0
2017-01-20 14:38:00,5438.0,5426.0,31.0,-920.0,-920.0,150.0,-1070.0,-1070.0
2017-01-20 14:41:00,5428.0,5416.0,15.0,-1550.0,-1550.0,160.0,-1710.0,-1710.0
2017-01-20 14:42:00,5422.0,5410.0,31.0,-450.0,-450.0,160.0,-610.0,-610.0
2017-01-20 14:45:00,5422.0,5410.0,23.0,0.0,0.0,80.0,-80.0,-80.0
2017-01-20 14:46:00,5426.0,5414.0,31.0,460.0,460.0,80.0,380.0,380.0
2017-01-20 14:51:00,5418.0,5406.0,15.0,-1240.0,-1240.0,160.0,-1400.0,-1400.0
2017-01-20 14:52:00,5420.0,5406.0,31.0,150.0,0.0,160.0,-10.0,-160.0
2017-01-20 14:57:00,5416.0,5404.0,23.0,-620.0,-310.0,80.0,-700.0,-390.0
2017-01-20 14:58:00,5416.0,5404.0,15.0,0.0,0.0,80.0,-80.0,-80.0
2017-01-20 14:59:00,5412.0,5400.0,-15.0,-300.0,-300.0,300.0,-600.0,-600.0
