profit,comm,equity,profit_ZL,equity_ZL,day
2400.0,0.0,2400.0,2600.0,2600.0,20170105
5400.0,0.0,5400.0,5500.0,5500.0,20170106
-800.0,0.0,-800.0,-800.0,-800.0,20170107
-700.0,0.0,-700.0,-500.0,-500.0,20170109
-2600.0,0.0,-2600.0,-2600.0,-2600.0,20170110
-2540.0,100.0,-2640.0,-2540.0,-2640.0,20170111
-300.0,180.0,-480.0,-360.0,-540.0,20170112
-1760.0,340.0,-2100.0,-1600.0,-1940.0,20170113
-3200.0,0.0,-3200.0,-3360.0,-3360.0,20170114
5500.0,1100.0,4400.0,4740.0,3640.0,20170116
16720.0,0.0,16720.0,14060.0,14060.0,20170117
-17300.0,320.0,-17620.0,-16180.0,-16500.0,20170118
220.0,40.0,180.0,220.0,180.0,20170119
-2400.0,460.0,-2860.0,-2220.0,-2680.0,20170120
2080.0,0.0,2080.0,2080.0,2080.0,20170121
-1280.0,0.0,-1280.0,-1440.0,-1440.0,20170123
3900.0,1320.0,2580.0,2220.0,900.0,20170124
-14020.0,1880.0,-15900.0,-15660.0,-17540.0,20170125
7200.0,0.0,7200.0,7800.0,7800.0,20170126
18000.0,0.0,18000.0,18000.0,18000.0,20170203
-18000.0,0.0,-18000.0,-17400.0,-17400.0,20170204
-2880.0,160.0,-3040.0,-3320.0,-3480.0,20170206
7460.0,300.0,7160.0,7260.0,6960.0,20170207
-20460.0,1220.0,-21680.0,-20860.0,-22080.0,20170208
-4400.0,120.0,-4520.0,-5280.0,-5400.0,20170209
17040.0,360.0,16680.0,16600.0,16240.0,20170210
1320.0,0.0,1320.0,880.0,880.0,20170211
-9680.0,220.0,-9900.0,-10340.0,-10560.0,20170213
8200.0,840.0,7360.0,7640.0,6800.0,20170214
4560.0,0.0,4560.0,5320.0,5320.0,20170215
