profit,comm,equity,profit_ZL,equity_ZL,day
17380.0,460.0,16920.0,17540.0,17080.0,20170109
27600.0,0.0,27600.0,27370.0,27370.0,20170110
3220.0,0.0,3220.0,3450.0,3450.0,20170111
4700.0,300.0,4400.0,4930.0,4630.0,20170112
-960.0,160.0,-1120.0,-960.0,-1120.0,20170113
0.0,0.0,0.0,0.0,0.0,20170116
0.0,0.0,0.0,0.0,0.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
5750.0,460.0,5290.0,5820.0,5360.0,20170120
8280.0,0.0,8280.0,8280.0,8280.0,20170121
-4830.0,0.0,-4830.0,-5060.0,-5060.0,20170123
-19730.0,920.0,-20650.0,-19880.0,-20800.0,20170124
-2910.0,300.0,-3210.0,-2680.0,-2980.0,20170125
5360.0,0.0,5360.0,5600.0,5600.0,20170126
37270.0,2300.0,34970.0,38650.0,36350.0,20170203
19250.0,0.0,19250.0,18480.0,18480.0,20170204
5660.0,160.0,5500.0,6430.0,6270.0,20170206
-34390.0,1380.0,-35770.0,-36850.0,-38230.0,20170207
0.0,0.0,0.0,0.0,0.0,20170208
0.0,0.0,0.0,0.0,0.0,20170209
-4000.0,160.0,-4160.0,-4320.0,-4480.0,20170210
2400.0,0.0,2400.0,2400.0,2400.0,20170211
4200.0,240.0,3960.0,4280.0,4040.0,20170213
120.0,0.0,120.0,200.0,200.0,20170214
-2000.0,0.0,-2000.0,-2040.0,-2040.0,20170215
