stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-01-04 14:59:00,4127.0,4130.0,0.0,,,,,
2017-01-05 14:59:00,4134.0,4137.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 14:59:00,4134.0,4137.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 14:59:00,4073.0,4075.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-06 14:59:00,4073.0,4075.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09 09:53:00,4102.0,4105.0,3.0,0.0,0.0,60.0,-60.0,-60.0
2017-01-09 10:53:00,4102.0,4104.0,3.0,0.0,-45.0,0.0,0.0,-45.0
2017-01-09 14:26:00,4101.0,4103.0,-3.0,-45.0,-45.0,120.0,-165.0,-165.0
2017-01-09 14:27:00,4101.0,4103.0,3.0,-0.0,-0.0,120.0,-120.0,-120.0
2017-01-09 14:52:00,4102.0,4105.0,-3.0,45.0,90.0,120.0,-75.0,-30.0
2017-01-09 14:59:00,4106.0,4109.0,-3.0,-180.0,-180.0,0.0,-180.0,-180.0
2017-01-09 14:59:00,4106.0,4109.0,3.0,-0.0,-0.0,120.0,-120.0,-120.0
2017-01-10 09:00:00,4120.0,4122.0,-3.0,630.0,585.0,120.0,510.0,465.0
2017-01-10 09:01:00,4120.0,4122.0,3.0,-0.0,-0.0,120.0,-120.0,-120.0
2017-01-10 09:20:00,4125.0,4128.0,6.0,225.0,270.0,60.0,165.0,210.0
2017-01-10 09:24:00,4124.0,4126.0,12.0,-90.0,-180.0,120.0,-210.0,-300.0
2017-01-10 09:45:00,4124.0,4126.0,16.0,0.0,0.0,80.0,-80.0,-80.0
2017-01-10 09:53:00,4125.0,4127.0,22.0,240.0,240.0,120.0,120.0,120.0
2017-01-10 09:54:00,4125.0,4127.0,25.0,0.0,0.0,60.0,-60.0,-60.0
2017-01-10 10:11:00,4119.0,4121.0,28.0,-2250.0,-2250.0,60.0,-2310.0,-2310.0
2017-01-10 10:12:00,4120.0,4122.0,28.0,420.0,420.0,0.0,420.0,420.0
2017-01-10 10:30:00,4124.0,4126.0,31.0,1680.0,1680.0,60.0,1620.0,1620.0
2017-01-10 10:31:00,4121.0,4123.0,34.0,-1395.0,-1395.0,60.0,-1455.0,-1455.0
2017-01-10 11:11:00,4130.0,4132.0,37.0,4590.0,4590.0,60.0,4530.0,4530.0
2017-01-10 11:21:00,4128.0,4130.0,40.0,-1110.0,-1110.0,60.0,-1170.0,-1170.0
2017-01-10 11:22:00,4127.0,4129.0,37.0,-600.0,-600.0,60.0,-660.0,-660.0
2017-01-10 11:23:00,4129.0,4131.0,40.0,1110.0,1110.0,60.0,1050.0,1050.0
2017-01-10 14:59:00,4123.0,4126.0,40.0,-3600.0,-3000.0,0.0,-3600.0,-3000.0
